ID|Teks_Gabungan|Label_Sentimen|Tanggal|Link
332|SOTS Berbalik Untung, Laba Meroket 116,98 Persen, dan Berstatus HSC. EmitenNews.com - Satria Kencana (SOTS) per 31 Maret 2026 mengemas laba bersih Rp674,34 juta. Melambung 116,98 persen dari periode...||07/05/2026, 06:15 WIB|https://www.emitennews.com/news/sots-berbalik-untung-laba-meroket-11698-persen-dan-berstatus-hsc
333|NICL Bagi Dividen Rp382,88 Miliar, Cum Date 12 Mei 2026. EmitenNews.com - PAM Mineral (NICL) bakal membagi dividen tunai Rp382,88 miliar. Alokasi dividen itu, diambil dari laba bersih...||07/05/2026, 06:00 WIB|https://www.emitennews.com/news/nicl-bagi-dividen-rp38288-miliar-cum-date-12-mei-2026
334|Perluas Ekspor ke Vietnam, Kemendag Beberkan Kelebihan Cimory (CMRY). EmitenNews.com - Produk Yogurt Indonesia menemukan pasarnya di luar negeri. Kementerian Perdagangan melepas ekspor perdana produk...||06/05/2026, 20:31 WIB|https://www.emitennews.com/news/perluas-ekspor-ke-vietnam-kemendag-beberkan-kelebihan-cimory-cmry
335|Menuju Transformasi Hijau, PT PP Komit Jadikan ESG Sebagai DNA Bisnis. EmitenNews.com - PT PP (Persero) Tbk (PTPP) menegaskan komitmen memperkuat transformasi keberlanjutan seiring capaian ESG Risk...||06/05/2026, 19:42 WIB|https://www.emitennews.com/news/menuju-transformasi-hijau-pt-pp-komit-jadikan-esg-sebagai-dna-bisnis
336|GSMF Gelar Private Placement Rp150M, Pengendali Jadi Pembeli Siaga. EmitenNews.com - PT Equity Development Investment Tbk. (GSMF) berencana melakukan Penambahan Modal Tanpa Hak Memesan Efek Terlebih...||06/05/2026, 16:45 WIB|https://www.emitennews.com/news/gsmf-gelar-private-placement-rp150m-pengendali-jadi-pembeli-siaga
337|ERAA Perkuat ESG di Tengah Ekspansi dan Pertumbuhan Bisnis Perusahaan. EmitenNews.com - Di tengah meningkatnya perhatian terhadap praktik bisnis berkelanjutan, aspek environmental, social, and governance...||06/05/2026, 15:41 WIB|https://www.emitennews.com/news/eraa-perkuat-esg-di-tengah-ekspansi-dan-pertumbuhan-bisnis-perusahaan
338|TOTL Bagi Dividen Jumbo Setara 90 Persen Laba, Yield Fantastis!. EmitenNews.com - PT Total Bangun Persada Tbk. (TOTL) menetapkan besaran jumbo pembagian dividen tunai Rp375,1 miliar dari laba...||06/05/2026, 14:37 WIB|https://www.emitennews.com/news/totl-bagi-dividen-jumbo-setara-90-persen-laba-yield-fantastis
339|Lulusan ITB Lama Jadi Petinggi Telkom Kini Ditarik ISAT, Ini Tugasnya. EmitenNews.com - PT Indosat Ooredoo Hutchison Tbk (ISAT) merombak susunan manajemen sekaligus menegaskan arah transformasi digitalnya....||06/05/2026, 14:17 WIB|https://www.emitennews.com/news/lulusan-itb-lama-jadi-petinggi-telkom-kini-ditarik-isat-initugasnya
340|RM Nasi Padang Payakumbuah Milik Arief Muhammad Digadang Akan IPO. EmitenNews.com - Rencana penawaran umum perdana atau IPO mulai digembar-gemborkan menyelimuti bisnis kuliner Rumah Makan Nasi...||06/05/2026, 14:00 WIB|https://www.emitennews.com/news/rm-nasi-padang-payakumbuah-milik-arief-muhammad-digadang-akan-ipo
341|Saham GOTO Kian Terperosok, Antrean Jual Mengular. EmitenNews.com - Saham GoTo Gojek Tokopedia (GOTO) kian terperosok ke level Rp50 per saham pada penutupan perdagangan sesi I,...||06/05/2026, 13:10 WIB|https://www.emitennews.com/news/saham-goto-kian-terperosok-antrean-jual-mengular
342|Usai Diakuisisi AEP, Saham Emiten Sawit dan Karet Ini Mendadak Ambruk. EmitenNews.com - Aksi divestasi jumbo terjadi di saham emiten produsen minyak sawit dan karet PT Pinago Utama Tbk. (PNGO). Komisaris...||06/05/2026, 13:06 WIB|https://www.emitennews.com/news/usai-diakuisisi-aep-saham-emiten-sawit-dan-karet-ini-mendadak-ambruk
343|Dua Saham Lepas dari Suspensi, Satu Nonstop ARA Berjilid-jilid. EmitenNews.com - PT Bursa Efek Indonesia (BEI) mengumumkan pembukaan suspensi atas dua saham pada perdagangan Rabu (6/5/2026),...||06/05/2026, 10:50 WIB|https://www.emitennews.com/news/dua-saham-lepas-dari-suspensi-satu-nonstop-ara-berjilid-jilid
344|YUPI Bagi Dividen Interim Bulan Ini, Telisik Besarannya. EmitenNews.com - PT Yupi Indo Jelly Gum Tbk (YUPI) mengumumkan rencana pembagian dividen interim untuk periode tahun buku 2026....||06/05/2026, 09:50 WIB|https://www.emitennews.com/news/yupi-bagi-dividen-interim-bulan-ini-telisik-besarannya
345|Penjualan COAL Q1 2025 Anjlok, Merosot hingga 50,2 Persen. EmitenNews.com - PT Black Diamond Resources (COAL) membukukan penjualan anjlok 50,2 persen pada 2025 sebesar Rp242 miliar dibandingkan...||06/05/2026, 09:30 WIB|https://www.emitennews.com/news/penjualan-coal-q1-2025-anjlok-merosot-hingga-502-persen
346|Pendapatan Melorot, Laba MBSS Anjlok 71 Persen Kuartal I 2026. EmitenNews.com - Mitrabahtera (MBSS) kuartal I 2026 mencatat laba bersih Rp47,11 miliar. Anjlok 71,28 persen dari episode sama...||06/05/2026, 08:40 WIB|https://www.emitennews.com/news/pendapatan-melorot-laba-mbss-anjlok-71-persen-kuartal-i-2026
347|MSJA Jadwal Dividen Tunai 90 Persen dari Laba, Telisik Detailnya. EmitenNews.com - Multi Spunindo Jaya (MSJA) baka menyalurkan dividen USD5,67 juta setara Rp85,98 miliar. Alokasi dividen itu,...||06/05/2026, 08:30 WIB|https://www.emitennews.com/news/msja-jadwal-dividen-tunai-90-persen-dari-laba-telisik-detailnya
348|Danantara Kempit Saham Bawah 1 Persen, Ini Respons GOTO. EmitenNews.com - Goto Gojek (GOTO) merespons positif Badan Pengelola Investasi (BPI) Daya Anagata Nusantara (Danantara) memborong...||06/05/2026, 08:15 WIB|https://www.emitennews.com/news/danantara-kempit-saham-bawah-1-persen-ini-respons-goto
349|Jelang RUPSLB, INPS Bakal Tambah Lini Usaha. EmitenNews.com - PT Indah Prakasa Sentosa Tbk (INPS) berencana melakukan penambahan kegiatan usaha melalui penambahan klasifikasi...||06/05/2026, 08:00 WIB|https://www.emitennews.com/news/jelang-rupslb-inps-bakal-tambah-lini-usaha
350|Aset Gendut, PALM Catat Laba Rp2,32 Triliun Kuartal I 2026. EmitenNews.com - Provident Investasi (PALM) per 31 Maret 2026 keluar jebakan rugi. Itu dengan mencatat laba bersih Rp2,32 triliun....||06/05/2026, 07:50 WIB|https://www.emitennews.com/news/aset-gendut-palm-catat-laba-rp232-triliun-kuartal-i-2026
351|Bank BSI (BRIS) Bagi Dividen Rp1,51 Triliun. EmitenNews.com - PT Bank Syariah Indonesia (Persero) Tbk (BRIS) mengumumkan pembagian dividen tunai untuk tahun buku 2025 sebesar...||06/05/2026, 07:40 WIB|https://www.emitennews.com/news/bank-bsi-bris-bagi-dividen-rp151-triliun
352|Perkuat Modal, MDKA Racik Private Placement 2,44 Miliar Lembar. EmitenNews.com - Merdeka Gold (MDKA) meracik private placement maksimal 2.447.298.377 helai alias 2,44 miliar lembar. Pengeluaran...||06/05/2026, 07:30 WIB|https://www.emitennews.com/news/perkuat-modal-mdka-racik-private-placement-244-miliar-lembar
353|Meroket 517,98 Persen, SMAR Koleksi Laba Rp829,52 Miliar Kuartal I. EmitenNews.com - Sinarmas Agro (SMAR) per 31 Maret 2026 mengoleksi laba bersih Rp829,52 miliar. Meroket 517,98 persen dari posisi...||06/05/2026, 07:15 WIB|https://www.emitennews.com/news/meroket-51798-persen-smar-koleksi-laba-rp82952-miliar-kuartal-i
354|Indosat (ISAT) Bagi Dividen Segini, Setara Rp3,58 Triliun. EmitenNews.com - PT Indosat Ooredo Hutchison Tbk (ISAT) mengumumkan pembagian dividen tunai senilai Rp3,58 triliun atau senilai...||06/05/2026, 06:40 WIB|https://www.emitennews.com/news/indosat-isat-bagi-dividen-segini-setara-rp358-triliun
355|Kebut Pusat Data, DCII Tarik Fasilitas Kredit Jumbo dari BCA. EmitenNews.com - DCI Indonesia (DCII) mendapat dana jumbo Rp17 triliun. Fasilitas kredit tersebut meluncur dari Bank Central...||06/05/2026, 06:20 WIB|https://www.emitennews.com/news/kebut-pusat-data-dcii-tarik-fasilitas-kredit-jumbo-dari-bca
356|Rugi Bengkak 101,75 Persen, PBRX Defisit USD280 Juta. EmitenNews.com - Pan Brothers (PBRX) sepanjang kuartal pertama 2026 boncos USD1,66 juta. Longsor 101,75 persen dari episode sama...||06/05/2026, 06:00 WIB|https://www.emitennews.com/news/rugi-bengkak-10175-persen-pbrx-defisit-usd280-juta
